Marca,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
CHRYSLER,45150.0,19200.0,8100.0,1500.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,15015
FOTON,0.0,0.0,0.0,14700.0,5100.0,18750.0,22350.0,30750.0,19350.0,2700.0,300.0,15900.0,12990
GAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106800.0,10680
OMODA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50550.0,5055
FERRARI,5400.0,2100.0,3150.0,1650.0,4950.0,4650.0,4500.0,3150.0,5100.0,900.0,0.0,4200.0,4530
ZEEKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500.0,4350
MASERATI,1650.0,1950.0,1800.0,3900.0,5850.0,4200.0,2100.0,1500.0,2550.0,150.0,0.0,150.0,2700
AGRALE,4800.0,3300.0,2250.0,1050.0,1050.0,2250.0,300.0,450.0,750.0,1350.0,0.0,0.0,2340
LAMBORGHINI,1350.0,750.0,600.0,900.0,2250.0,4950.0,3000.0,1350.0,1050.0,450.0,0.0,2850.0,2145
MCLAREN,0.0,0.0,0.0,0.0,2400.0,150.0,0.0,2400.0,1800.0,6150.0,4950.0,1500.0,1935
ASTON,1650.0,450.0,300.0,0.0,0.0,0.0,0.0,300.0,3600.0,3150.0,2850.0,2100.0,1500
NETA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,960
BENTLEY,2100.0,600.0,750.0,450.0,450.0,450.0,0.0,0.0,0.0,0.0,0.0,900.0,825
FEVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,450
ROLLS-ROYCE,1200.0,750.0,150.0,150.0,300.0,300.0,450.0,150.0,0.0,0.0,0.0,300.0,405
RIDDARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,360
SERES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,360
TAC,0.0,0.0,0.0,0.0,900.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,120
EXEED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,150.0,0.0,0.0,105
TESLA,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
